maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mercedes0Benz,Mercedes0Benz SLK0Class,4757,4737,4182,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz CLK0Class,0,3,0,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz CLS0Class,8032,6981,6152,4156,1839,899.0,2385.0,2980.0,2322.0,941
Mercedes0Benz,Mercedes0Benz E0Class,69803,66400,49736,46740,49473,45525.0,37728.0,24122.0,18594.0,17877
Mercedes0Benz,Mercedes0Benz AMG0GT,0,0,1277,1227,1608,1525.0,4208.0,3489.0,3129.0,2970
Mercedes0Benz,Mercedes0Benz CL0Class,476,221,54,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz EQE,0,0,0,0,0,0.0,0.0,0.0,0.0,384
Mercedes0Benz,Mercedes0Benz EQS,0,0,0,0,0,0.0,0.0,0.0,443.0,9483
Mercedes0Benz,Mercedes0Benz S0Class,13303,25276,21934,18803,15888,14978.0,12528.0,8589.0,14161.0,15925
Mercedes0Benz,Mercedes0Benz SL0Class,7007,5030,4060,3722,2940,2126.0,1690.0,1782.0,460.0,2027
Mercedes0Benz,Mercedes0Benz SLS0Class,451,232,29,1,0,0.0,0.0,2.0,0.0,0
Mercedes0Benz,Mercedes0Benz B0Class,20,776,1906,632,744,135.0,8.0,1.0,1.0,0
Mercedes0Benz,Mercedes0Benz R0Class,30,8,4,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz GLA0Class,0,6884,25593,24545,24104,24136.0,22137.0,25345.0,14194.0,14085
Mercedes0Benz,Mercedes0Benz GLB,0,0,0,0,0,0.0,1173.0,23183.0,26968.0,23274
Mercedes0Benz,Mercedes0Benz GLC0Class (GLK0Class),0,0,4569,47872,48643,69727.0,73650.0,52627.0,52106.0,65531
Mercedes0Benz,Mercedes0Benz GLK0Class,32553,35000,23333,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz EQS SUV,0,0,0,0,0,0.0,0.0,0.0,0.0,884
Mercedes0Benz,Mercedes0Benz G0Class,2494,3090,3616,3950,4188,3970.0,7348.0,7723.0,8480.0,7018
Mercedes0Benz,Mercedes0Benz GL0Class,29912,26597,27707,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz GLE0Class (M0Class/ML0Class),0,0,20663,51790,54595,46010.0,49980.0,48157.0,65198.0,63050
Mercedes0Benz,Mercedes0Benz GLS0Class (GL0Class),0,0,0,30442,32248,21972.0,22225.0,22172.0,24606.0,20853
Mercedes0Benz,Mercedes0Benz M0Class,41315,46706,32540,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz ML0Class,11,20,10,1,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz Sprinter,21816,25745,0,0,0,0.0,0.0,0.0,0.0,0
Mercedes0Benz,Mercedes0Benz Unclassified Van,0,0,29889,34304,34994,38178.0,41635.0,50999.0,55692.0,64185
Mercedes0Benz,Mercedes0Benz EQB,0,0,0,0,0,0.0,0.0,0.0,0.0,1672
MINI,MINI Cooper,26954,22843,34967,22438,18981,16400.0,14527.0,12455.0,13391.0,14374
MINI,MINI Clubman,5155,2613,492,12204,7739,4385.0,3565.0,2513.0,2719.0,2581
MINI,MINI Convertible,4460,3536,3098,4584,5512,5334.0,4031.0,3883.0,3380.0,3060
MINI,MINI Coupe,2540,956,460,8,0,0.0,0.0,0.0,0.0,0
MINI,MINI Roadster,2806,1437,1103,5,0,0.0,0.0,0.0,0.0,0
MINI,MINI Countryman,21325,22645,16686,12706,14864,17565.0,13969.0,9287.0,10440.0,9489
MINI,MINI Paceman,3262,2082,1708,85,9,0.0,0.0,0.0,0.0,0
Mitsubishi,Mitsubishi i0MiEV,1029,196,115,94,6,0.0,0.0,0.0,0.0,0
Mitsubishi,Mitsubishi Mirage,2935,16708,21515,22226,22386,24316.0,26966.0,19136.0,22741.0,15816
Mitsubishi,Mitsubishi Lancer,19451,16495,17691,14304,12725,3302.0,0.0,0.0,0.0,0
Mitsubishi,Mitsubishi Eclipse,40,0,0,0,0,0.0,0.0,0.0,0.0,0
Mitsubishi,Mitsubishi Eclipse Spyder,69,0,0,0,0,0.0,0.0,0.0,0.0,0
Mitsubishi,Mitsubishi Galant,1441,122,0,0,0,0.0,0.0,0.0,0.0,0
Mitsubishi,Mitsubishi Eclipse Cross,0,0,0,0,0,9485.0,19661.0,10319.0,8947.0,10718
Mitsubishi,Mitsubishi RVR (ASX/Outlander Sport),24951,31054,36966,33067,33160,39153.0,33644.0,28836.0,34216.0,16373
Mitsubishi,Mitsubishi Outlander,12287,13068,19055,26576,35409,41818.0,40775.0,29096.0,36133.0,42903
Mitsubishi,Mitsubishi Endeavor,24,0,0,0,0,0.0,0.0,0.0,0.0,0
Nissan,Nissan Cube,5461,3785,943,15,0,0.0,0.0,0.0,0.0,0
Nissan,Nissan Leaf,22610,30200,17269,14006,11230,14715.0,12365.0,9564.0,14239.0,12025
Nissan,Nissan Versa,117352,139781,144528,132214,106772,75809.0,66596.0,48273.0,60913.0,13396
Nissan,Nissan Sentra,129143,183268,203509,214709,218451,213046.0,184618.0,94646.0,127861.0,77123
Nissan,Nissan 370Z,6561,7199,7391,5913,4614,3468.0,2384.0,1954.0,36.0,0
Nissan,Nissan Altima,320723,335644,333398,307380,254996,209146.0,209183.0,137988.0,103777.0,139955
Nissan,Nissan Nissan Z,0,0,0,0,0,0.0,0.0,0.0,0.0,263
Nissan,Nissan GT0R,1236,1436,1105,698,578,538.0,331.0,304.0,227.0,57
Nissan,Nissan Maxima,53896,50401,40359,62670,67627,42337.0,35076.0,18062.0,16386.0,7110
Nissan,Nissan Quest,12874,9833,11018,11115,4950,3.0,0.0,0.0,0.0,0
Nissan,Nissan Frontier (Navara),62837,74323,62817,86926,74360,79646.0,72369.0,36845.0,60693.0,76183
Nissan,Nissan Titan,15691,12527,12140,21880,52924,50459.0,31514.0,26439.0,27406.0,15063
Nissan,Nissan Juke,38157,38184,27121,19577,10157,731.0,11.0,0.0,0.0,0
Nissan,Nissan Ariya,0,0,0,0,0,0.0,0.0,0.0,0.0,201
Nissan,Nissan Kicks,0,0,0,0,0,23312.0,58193.0,58858.0,82960.0,54879
Nissan,Nissan Rogue,162751,199199,287190,329904,403465,412110.0,350447.0,227935.0,285602.0,186480
Nissan,Nissan Armada,14383,12593,12737,14035,35667,32650.0,32044.0,19640.0,22814.0,11923
Nissan,Nissan Murano,44684,47301,62907,86953,76732,83547.0,68361.0,58255.0,46117.0,30074
Nissan,Nissan Pathfinder,88632,79111,82041,81701,81065,67550.0,65691.0,48579.0,41324.0,57862
Nissan,Nissan Xterra,17766,16505,10672,38,1,0.0,0.0,0.0,0.0,0
Nissan,Nissan NV,12589,14890,16958,17873,17858,16902.0,20022.0,15247.0,11372.0,3
Nissan,Nissan NV200,4619,13385,17317,18523,18602,18628.0,18768.0,17126.0,17359.0,134
Polestar,Polestar 1,0,0,0,0,0,0.0,0.0,0.0,16.0,149
Polestar,Polestar 2,0,0,0,0,0,0.0,0.0,0.0,2402.0,9322
Porsche,Porsche Boxster/Cayman,7953,7292,6663,6260,5087,5276.0,3880.0,3447.0,4292.0,3484
Porsche,Porsche Taycan,0,0,0,0,0,0.0,0.0,4414.0,9419.0,7271
Porsche,Porsche Panamera,5421,5740,4986,4403,6731,8042.0,6625.0,3870.0,4257.0,4224
Porsche,Porsche Porsche 911,10442,10433,9898,8901,8970,9647.0,9265.0,8840.0,10042.0,10204
Porsche,Porsche Porsche 918,0,96,203,0,0,0.0,0.0,0.0,0.0,0
Porsche,Porsche Macan,0,7241,13533,19332,21429,23504.0,22667.0,18631.0,24716.0,23688
Porsche,Porsche Cayenne,18507,16205,16473,15383,13203,10733.0,19131.0,18092.0,17299.0,21194
Ram,Ram P/U,355673,439789,451116,489418,500723,536980.0,633694.0,563676.0,569388.0,468344
Ram,Ram ProMaster,3270,18039,28345,40440,40483,46600.0,56409.0,50556.0,63361.0,60936
Ram,Ram ProMaster City,0,0,11124,15972,15584,13788.0,12920.0,10409.0,14579.0,15914
Ram,Ram Ram Cargo Van,8900,11311,3222,21,0,0.0,0.0,1.0,3.0,0
Rivian,Rivian R1T,0,0,0,0,0,0.0,0.0,0.0,576.0,17426
Rivian,Rivian R1S,0,0,0,0,0,0.0,0.0,0.0,8.0,676
Rivian,Rivian EDV,0,0,0,0,0,0.0,0.0,0.0,0.0,2230
Scion,Scion iQ,4046,2040,482,6,0,0.0,0.0,0.0,0.0,0
Scion,Scion iA,0,0,7605,0,0,0.0,0.0,0.0,0.0,0
Scion,Scion xD,9005,7377,794,9,2,0.0,0.0,0.0,0.0,0
Scion,Scion FR0S,18327,14062,10507,0,0,0.0,0.0,0.0,0.0,0
Scion,Scion iM,0,0,5097,0,0,0.0,0.0,0.0,0.0,0
Scion,Scion tC,19094,17947,16459,9336,203,2.0,0.0,0.0,0.0,0
Scion,Scion xB,17849,16583,15223,2677,0,3.0,1.0,0.0,0.0,0
smart,smart fortwo,923,2594,1387,657,544,1118.0,583.0,0.0,0.0,0
smart,smart Unclassified,8341,7859,6097,5554,2527,158.0,97.0,0.0,0.0,0
Subaru,Subaru BRZ,8587,7504,5296,4141,4131,3834.0,2334.0,2267.0,2320.0,3345
Subaru,Subaru Impreza,58856,57996,66785,55238,86043,76400.0,66415.0,43628.0,34791.0,30846
Subaru,Subaru WRX,17969,25492,33734,33279,31358,28730.0,21838.0,21178.0,27141.0,18662
Subaru,Subaru Legacy,42291,52270,60447,65306,49837,40109.0,35063.0,27240.0,22766.0,22605
Subaru,Subaru Forester,123592,159953,175192,178593,177563,171613.0,180179.0,176996.0,154723.0,114096
Subaru,Subaru XV,53741,70956,88927,95677,110138,144384.0,131152.0,119716.0,127466.0,155142
Subaru,Subaru Ascent,0,0,0,0,0,36211.0,81958.0,67623.0,59980.0,63704
Subaru,Subaru Outback,118049,138790,152294,182898,188886,178854.0,181178.0,153294.0,154623.0,147262
Subaru,Subaru Solterra,0,0,0,0,0,0.0,0.0,0.0,0.0,919
Subaru,Subaru Tribeca,1598,732,0,0,0,0.0,0.0,0.0,0.0,0
Suzuki,Suzuki Aerio (Liana)/SX4,2859,0,0,0,0,0.0,0.0,0.0,0.0,0
Suzuki,Suzuki Kizashi,1602,0,0,0,0,0.0,0.0,0.0,0.0,0
Suzuki,Suzuki Equator,448,0,0,0,0,0.0,0.0,0.0,0.0,0
Suzuki,Suzuki Escudo (Grand Vitara),1037,0,0,0,0,0.0,0.0,0.0,0.0,0
Tesla,Tesla Model 3,0,0,0,0,1770,138867.0,146450.0,118600.0,123598.0,215500
Tesla,Tesla Model S,18650,16550,26400,29156,26500,25200.0,14000.0,10500.0,15026.0,35000
Tesla,Tesla Model Y,0,0,0,0,0,0.0,0.0,68900.0,189797.0,247344
Tesla,Tesla Model X,0,0,208,18028,21700,23900.0,18500.0,7600.0,19673.0,24600
Toyota,Toyota Aqua (Prius C),41979,40570,38484,20452,12415,8399.0,1276.0,13.0,0.0,0
Toyota,Toyota Vitz (Yaris),21342,13274,16779,10872,8653,2094.0,2186.0,3983.0,109.0,0
Toyota,Toyota Yaris iA,0,0,0,27983,35727,25116.0,19730.0,2454.0,96.0,0
Toyota,Toyota 86,0,0,0,7457,6846,4146.0,3398.0,2476.0,1152.0,11996
Toyota,Toyota Corolla,302180,339498,363332,360483,308695,280886.0,280808.0,217712.0,229785.0,199959
Toyota,Toyota Corolla iM,0,0,0,17727,20501,22846.0,24042.0,19466.0,19208.0,22257
Toyota,Toyota Prius,157260,136040,118020,101340,86567,77129.0,68433.0,43512.0,59010.0,36919
Toyota,Toyota Avalon,70990,67183,60063,48080,32583,33581.0,27767.0,18421.0,19460.0,12215
Toyota,Toyota Camry,408484,428606,429355,388618,387081,343439.0,336978.0,294348.0,313795.0,295201
Toyota,Toyota MIRAI,0,0,72,1034,1838,1700.0,1502.0,499.0,2629.0,2094
Toyota,Toyota Supra,0,0,0,0,0,0.0,2884.0,5887.0,6830.0,4952
Toyota,Toyota Prius v,34989,30762,28290,14840,9680,2062.0,9.0,0.0,0.0,0
Toyota,Toyota Sienna,121117,124502,137497,127791,111489,87672.0,73585.0,42885.0,107990.0,69751
Toyota,Toyota Tacoma,159485,155041,179562,191631,198124,245659.0,248801.0,238806.0,252520.0,237323
Toyota,Toyota Tundra,112732,118493,118880,115489,116285,118258.0,111673.0,109203.0,81959.0,104246
Toyota,Toyota C0HR,0,0,0,0,25755,49642.0,48930.0,42936.0,35707.0,12141
Toyota,Toyota Corolla Cross,0,0,0,0,0,0.0,0.0,0.0,7203.0,56666
Toyota,Toyota FJ Cruiser,13131,14718,229,9,4,3.0,1.0,0.0,1.0,0
Toyota,Toyota 4Runner,51625,76906,97034,111970,128296,139694.0,131888.0,129052.0,144696.0,121023
Toyota,Toyota bZ4X,0,0,0,0,0,0.0,0.0,0.0,0.0,1220
Toyota,Toyota Highlander,127572,146127,158915,191379,215775,244511.0,239438.0,212276.0,264128.0,222805
Toyota,Toyota RAV4,218249,267698,315412,352154,407594,427170.0,448071.0,430387.0,407739.0,399941
Toyota,Toyota Venza,35846,29991,21351,589,14,9.0,9.0,13073.0,61988.0,33683
Toyota,Toyota Land Cruiser,3082,3158,2687,3705,3100,3222.0,3536.0,3147.0,3711.0,48
Toyota,Toyota Sequoia,13811,11806,12583,12771,12156,11121.0,10289.0,7364.0,8070.0,5313
Volvo,Volvo C30,1361,66,0,0,0,0.0,0.0,0.0,0.0,0
Volvo,Volvo C70,3234,779,7,0,0,0.0,0.0,0.0,0.0,0
Volvo,Volvo S60,23210,20457,16993,14789,12454,7583.0,17526.0,11946.0,10550.0,6151
Volvo,Volvo V60,0,4990,7131,6132,4369,4293.0,2664.0,4882.0,3055.0,1385
Volvo,Volvo S80,1935,1753,1887,644,6,0.0,0.0,0.0,0.0,0
Volvo,Volvo S90,0,0,0,2756,8640,6967.0,2545.0,1896.0,608.0,1281
Volvo,Volvo V90,0,0,0,0,2449,2695.0,1507.0,1298.0,877.0,601
Volvo,Volvo XC70,4882,5093,5118,5425,74,0.0,0.0,0.0,0.0,0
Volvo,Volvo C40 Recharge,0,0,0,0,0,0.0,0.0,0.0,42.0,3780
Volvo,Volvo XC40,0,0,0,0,0,12427.0,17654.0,23778.0,26802.0,18558
Volvo,Volvo XC60,19766,19276,26134,20452,22516,32689.0,30578.0,32078.0,41582.0,36181
Volvo,Volvo XC90,6845,3952,12777,32526,30996,31609.0,35760.0,34251.0,38657.0,34101
VW,VW Beetle,43134,29182,22667,15667,15166,14411.0,17215.0,2481.0,12.0,6
VW,VW Eos,4178,3411,2993,387,1,0.0,0.0,0.0,0.0,0
VW,VW Golf,16023,16298,23489,17701,17086,7996.0,10507.0,25858.0,9253.0,8425
VW,VW Golf GTI,13310,17362,23669,23934,22486,16684.0,11672.0,0.0,0.0,0
VW,VW Golf R,1598,15,4141,4493,2706,3468.0,4223.0,0.0,0.0,0
VW,VW Golf SportWagen,0,0,14009,15559,26700,14123.0,10991.0,0.0,0.0,0
VW,VW Jetta,163793,160873,131109,121107,115807,90805.0,100453.0,82663.0,61967.0,38260
VW,VW Arteon,0,0,0,0,0,0.0,2449.0,3602.0,5537.0,1742
VW,VW Passat (Santana),109652,96649,78207,73002,60722,41401.0,14123.0,22964.0,24396.0,2419
VW,VW Passat CC,15672,9995,6276,3237,1355,455.0,58.0,96.0,2.0,1
VW,VW Routan,2109,1103,0,0,0,0.0,0.0,0.0,0.0,0
VW,VW ID.4,0,0,0,0,0,0.0,0.0,0.0,16742.0,20511
VW,VW Taos,0,0,0,0,0,0.0,0.0,0.0,31682.0,59103
VW,VW Tiguan,30002,25121,35843,43638,46983,103022.0,109963.0,100705.0,109747.0,88577
VW,VW Atlas,0,0,0,0,27119,59677.0,81508.0,87361.0,115687.0,82025
VW,VW Touareg,8233,6961,7037,4223,3545,2022.0,160.0,54.0,6.0,0
