maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cadillac,Cadillac CT6,0,0,0,9169,10542,9668.0,7951.0,3117.0,174.0,23
Cadillac,Cadillac CTS,32343,31115,19485,15911,10344,11219.0,6965.0,611.0,162.0,0
Cadillac,Cadillac DTS,19,0,0,0,0,0.0,0.0,0.0,0.0,0
Cadillac,Cadillac STS,7,0,0,0,0,0.0,0.0,0.0,0.0,0
Cadillac,Cadillac XTS,32559,24335,23112,22171,16275,17727.0,11304.0,1199.0,132.0,0
Cadillac,Cadillac XT4,0,0,0,0,0,7785.0,31987.0,22473.0,11579.0,21774
Cadillac,Cadillac Lyriq,0,0,0,0,0,0.0,0.0,0.0,0.0,122
Cadillac,Cadillac SRX,56776,53578,68850,22139,156,5.0,0.0,0.0,0.0,0
Cadillac,Cadillac XT5,0,0,0,39485,68312,60565.0,49879.0,35223.0,28380.0,27340
Cadillac,Cadillac XT6,0,0,0,0,0,0.0,11559.0,22609.0,20662.0,20053
Cadillac,Cadillac Escalade,22514,30522,35921,39092,37694,36872.0,35424.0,24547.0,40505.0,40247
Chevrolet,Chevrolet Spark,34130,39159,32853,35511,22589,23602.0,31281.0,33478.0,24459.0,13710
Chevrolet,Chevrolet Aveo,2,0,0,0,0,0.0,0.0,0.0,0.0,0
Chevrolet,Chevrolet Bolt,0,0,0,579,23297,18019.0,16418.0,20754.0,22073.0,11029
Chevrolet,Chevrolet Sonic,85646,93518,64775,55255,30290,20613.0,13971.0,13007.0,1581.0,6
Chevrolet,Chevrolet Cruze,248224,273060,226602,188876,184751,142617.0,47975.0,784.0,57.0,0
Chevrolet,Chevrolet Volt,23094,18805,15393,24739,20349,18306.0,4910.0,71.0,16.0,0
Chevrolet,Chevrolet Camaro,80567,86297,77502,72705,67940,50963.0,48265.0,29775.0,21893.0,24652
Chevrolet,Chevrolet Caprice,3899,3727,1845,1021,693,75.0,7.0,0.0,0.0,0
Chevrolet,Chevrolet SS,418,2479,2895,3013,4055,55.0,2.0,0.0,0.0,0
Chevrolet,Chevrolet Impala,156797,140280,116825,97006,75877,56556.0,44978.0,9942.0,750.0,10
Chevrolet,Chevrolet Malibu,200594,188519,194854,227881,185857,144542.0,131917.0,102651.0,39376.0,115467
Chevrolet,Chevrolet Corvette,17291,34839,33329,29995,25079,18791.0,17988.0,21626.0,33041.0,34510
Chevrolet,Chevrolet Avalanche,16526,92,0,0,0,0.0,0.0,0.0,0.0,0
Chevrolet,Chevrolet Colorado,3412,8003,84430,108725,112996,134842.0,122304.0,96238.0,73008.0,89197
Chevrolet,Chevrolet Silverado,480414,529755,600544,574876,585864,585581.0,570639.0,586675.0,519774.0,513354
Chevrolet,Chevrolet Trax (Tracker),0,739,63030,79016,79289,89916.0,116816.0,106299.0,42590.0,26597
Chevrolet,Chevrolet Bolt EUV,0,0,0,0,0,0.0,0.0,0.0,2755.0,27091
Chevrolet,Chevrolet Captiva,47600,35368,55,0,0,0.0,0.0,0.0,0.0,0
Chevrolet,Chevrolet Equinox,238192,242242,277589,242195,290458,332618.0,346048.0,270994.0,165323.0,212072
Chevrolet,Chevrolet HHR,3,0,0,0,0,0.0,0.0,0.0,0.0,0
Chevrolet,Chevrolet SUV0C Total,285795,277610,277644,242195,290458,332618.0,346048.0,305284.0,258239.0,300051
Chevrolet,Chevrolet Trailblazer,0,0,0,0,0,0.0,0.0,34290.0,90161.0,60888
Chevrolet,Chevrolet Blazer,0,0,0,0,0,0.0,58115.0,94601.0,70325.0,67246
Chevrolet,Chevrolet Traverse,96467,103943,119945,116701,123506,146534.0,147122.0,125546.0,116250.0,96965
Chevrolet,Chevrolet C/K Suburban,51260,55009,50866,60082,56516,60633.0,51928.0,37636.0,48214.0,50951
Chevrolet,Chevrolet Tahoe,83502,97726,88342,103306,98961,104153.0,101189.0,88238.0,106030.0,105756
Chevrolet,Chevrolet Express,79087,79352,63382,68007,69164,81239.0,77457.0,55131.0,44355.0,52888
Chevrolet,Chevrolet City Express,0,530,10283,7019,8348,3531.0,139.0,0.0,0.0,0
Chrysler,Chrysler 200 Series,122480,117363,177889,57294,18457,1043.0,48.0,9.0,15.0,2
Chrysler,Chrysler 300 series,57724,53382,53109,53241,51237,46593.0,29213.0,16653.0,16662.0,14087
Chrysler,Chrysler Pacifica,0,0,0,62366,118274,118322.0,97705.0,93802.0,98323.0,98624
Chrysler,Chrysler Town & Country,122288,138040,93848,59071,577,6.0,5.0,0.0,4.0,0
Chrysler,Chrysler N/A (Class 5),10901,14401,15812,15737,17203,15934.0,16467.0,15795.0,24930.0,20139
Dodge,Dodge Caliber,45,0,0,0,0,0.0,0.0,0.0,0.0,0
Dodge,Dodge Dart,83388,83858,87392,43402,10082,389.0,15.0,7.0,10.0,4
Dodge,Dodge Avenger,93842,51705,1268,45,14,4.0,1.0,0.0,0.0,2
Dodge,Dodge Challenger,51462,51611,66365,64433,64537,66716.0,60997.0,52955.0,54314.0,55060
Dodge,Dodge Charger,98336,94099,94725,95437,88351,80226.0,96935.0,77425.0,78389.0,80074
Dodge,Dodge Viper,591,760,676,630,585,19.0,5.0,4.0,4.0,1
Dodge,Dodge Caravan,124019,134152,97141,127678,125196,151927.0,122648.0,38767.0,3037.0,27
Dodge,Dodge Journey,83933,93572,105400,106759,89470,94096.0,74686.0,40342.0,14035.0,194
Dodge,Dodge Durango,60727,64398,64186,68474,68761,65947.0,67599.0,57828.0,65935.0,55433
Ferrari,Ferrari 296,0,0,0,0,0,0.0,0.0,0.0,0.0,41
Ferrari,Ferrari SF90 Spider,0,0,0,0,0,0.0,0.0,0.0,0.0,166
Ferrari,Ferrari SF90 Stradale,0,0,0,0,0,0.0,0.0,8.0,378.0,254
Ferrari,Ferrari Unclassified,0,0,2258,2398,2517,2488.0,2587.0,2020.0,0.0,0
Fiat,Fiat 500,35834,33708,25084,15437,12685,5370.0,3267.0,672.0,51.0,8
Fiat,Fiat 124 Spider,0,0,0,2475,4478,3515.0,2644.0,1729.0,952.0,24
Fiat,Fiat 500L,7402,12413,7863,3118,1664,1413.0,771.0,474.0,0.0,0
Fiat,Fiat 500X,0,0,9463,11712,7665,5223.0,2518.0,1428.0,1371.0,883
Ford,Ford Fiesta,71073,63192,64458,48807,46249,51730.0,60148.0,3354.0,0.0,0
